position,title,year,duration,age_rating,imdb_rating,votes,metascore,plot,href,cover,cover_alt
4341, Mi hermano Nikhil,No Year,No Duration,No Age Rating,"7,3"," (1,4 mil)",No Metascore,Famous swimmer Nikhil Kapoor (Suri) deals with the repercussions of announcing the fact that he has HIV/AIDS.,https://www.imdb.com//title/tt0419992/?ref_=sr_t_4341,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNGUwNTkyN2ItODE3YS00ZTRiLWExYTktOTA1ZjNmNzdiM2Y4XkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNGUwNTkyN2ItODE3YS00ZTRiLWExYTktOTA1ZjNmNzdiM2Y4XkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNGUwNTkyN2ItODE3YS00ZTRiLWExYTktOTA1ZjNmNzdiM2Y4XkEyXkFqcGc@._V1_QL75_UY311_CR9,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNGUwNTkyN2ItODE3YS00ZTRiLWExYTktOTA1ZjNmNzdiM2Y4XkEyXkFqcGc@._V1_QL75_UY414_CR12,0,280,414_.jpg 280w"
4342, Kariya,No Year,No Duration,No Age Rating,"7,3", (337),No Metascore,"Kariya, a gangster falls for a rich dancer Maya, but hesitant to express his love due to his criminal history. Meanwhile his enemies in the echelons of underworld conspire to have him murdered.",https://www.imdb.com//title/tt12867926/?ref_=sr_t_4342,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMDc4NTEzNTgtNjE3OS00YTdlLTgxMWEtNGNkYTE2ODBmOGNlXkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMDc4NTEzNTgtNjE3OS00YTdlLTgxMWEtNGNkYTE2ODBmOGNlXkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMDc4NTEzNTgtNjE3OS00YTdlLTgxMWEtNGNkYTE2ODBmOGNlXkEyXkFqcGc@._V1_QL75_UY311_CR50,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMDc4NTEzNTgtNjE3OS00YTdlLTgxMWEtNGNkYTE2ODBmOGNlXkEyXkFqcGc@._V1_QL75_UY414_CR67,0,280,414_.jpg 280w"
4343, Ganashatru,No Year,No Duration,No Age Rating,"7,3"," (1,6 mil)",No Metascore,"In this adaption of the Ibsen stage play, an idealistic physician discovers that the town's temple waters are dangerously contaminated. But with the community relying on the holy attraction for tourist dollars, his warnings go unheeded.",https://www.imdb.com//title/tt0097409/?ref_=sr_t_4343,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZjMzZTZjNzgtZDM4Yi00YTcyLWJhOTQtMTQ1ZDY4ZjM0MzM2XkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZjMzZTZjNzgtZDM4Yi00YTcyLWJhOTQtMTQ1ZDY4ZjM0MzM2XkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZjMzZTZjNzgtZDM4Yi00YTcyLWJhOTQtMTQ1ZDY4ZjM0MzM2XkEyXkFqcGc@._V1_QL75_UY311_CR5,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZjMzZTZjNzgtZDM4Yi00YTcyLWJhOTQtMTQ1ZDY4ZjM0MzM2XkEyXkFqcGc@._V1_QL75_UY414_CR7,0,280,414_.jpg 280w"
4344, Subarnarekha,No Year,No Duration,No Age Rating,"7,3"," (1,4 mil)",No Metascore,A man (Abhi Bhattacharya) opposes the love between his sister and the orphan (Satindra Bhattacharya) they adopted years earlier.,https://www.imdb.com//title/tt0056537/?ref_=sr_t_4344,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNjJmZmMyNmUtMDE5Yi00MmQyLTg0NmYtODZhMjBmMzJkOTMzXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNjJmZmMyNmUtMDE5Yi00MmQyLTg0NmYtODZhMjBmMzJkOTMzXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNjJmZmMyNmUtMDE5Yi00MmQyLTg0NmYtODZhMjBmMzJkOTMzXkEyXkFqcGc@._V1_QL75_UY311_CR4,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNjJmZmMyNmUtMDE5Yi00MmQyLTg0NmYtODZhMjBmMzJkOTMzXkEyXkFqcGc@._V1_QL75_UY414_CR6,0,280,414_.jpg 280w"
4345, Kallachirippu,No Year,No Duration,No Age Rating,"7,3", (170),No Metascore,The series follows 24 year old Mahati (Amrutha Srinivasan) through a series of misadventures that begin after being forced into an arranged marriage. Then the newly married Mahati accidentally stabs her husband to death in self-defense after a heated argument. She then promptly wipes her blood-spattered face and calls her boyfriend to clean up the mess. This sets off a chain of events that the true nature of every character involved in this marriage,https://www.imdb.com//title/tt9372626/?ref_=sr_t_4345,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZjc5N2RjZGQtYTViNy00ODE5LWFjNjEtMzUxODRlZDZkMmIzXkEyXkFqcGc@._V1_QL75_UX140_CR0,7,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZjc5N2RjZGQtYTViNy00ODE5LWFjNjEtMzUxODRlZDZkMmIzXkEyXkFqcGc@._V1_QL75_UX140_CR0,7,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZjc5N2RjZGQtYTViNy00ODE5LWFjNjEtMzUxODRlZDZkMmIzXkEyXkFqcGc@._V1_QL75_UX210_CR0,11,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZjc5N2RjZGQtYTViNy00ODE5LWFjNjEtMzUxODRlZDZkMmIzXkEyXkFqcGc@._V1_QL75_UX280_CR0,15,280,414_.jpg 280w"
4346, Udhaharanam Sujatha,No Year,No Duration,No Age Rating,"7,3", (715),No Metascore,"Sujatha combina trabajos humildes para pagar la educación de su hija, pero ésta descuida los estudios, esperando acabar haciendo trabajillos como su madre. Un giro cómico ocurre cuando Sujatha hace algo inesperado.",https://www.imdb.com//title/tt6940692/?ref_=sr_t_4346,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNWUzOTg2N2UtZDcyMS00M2QxLTg1YmMtNGQ5NzYwMWRhM2Y0XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNWUzOTg2N2UtZDcyMS00M2QxLTg1YmMtNGQ5NzYwMWRhM2Y0XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNWUzOTg2N2UtZDcyMS00M2QxLTg1YmMtNGQ5NzYwMWRhM2Y0XkEyXkFqcGc@._V1_QL75_UY311_CR1,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNWUzOTg2N2UtZDcyMS00M2QxLTg1YmMtNGQ5NzYwMWRhM2Y0XkEyXkFqcGc@._V1_QL75_UY414_CR2,0,280,414_.jpg 280w"
4347, Haridas,No Year,No Duration,No Age Rating,"7,3", (236),No Metascore,"Sivadas (Kishore) is tough-talking encounter specialist in the police department. He has a mission to pin down a gangster and mercenary and is hot on his trail. But life changes for the tough cop when he brings his only son Hari (Pritviraj Das) to Chennai from his village, where he was brought up by his grandmother. The young boy is autistic and now Siva has to take care of the boy and help him overcome his disability. He consults a doctor Ravi (Yugi Sethu) and admits Hari in a normal school where Amudhavalli (Sneha) is a trained teacher for special children.",https://www.imdb.com//title/tt3177080/?ref_=sr_t_4347,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMGUyZTk4ZGMtNDJhNy00MjNjLWFlOWEtYzRiZmMyZTdjNWIxXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMGUyZTk4ZGMtNDJhNy00MjNjLWFlOWEtYzRiZmMyZTdjNWIxXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMGUyZTk4ZGMtNDJhNy00MjNjLWFlOWEtYzRiZmMyZTdjNWIxXkEyXkFqcGc@._V1_QL75_UY311_CR5,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMGUyZTk4ZGMtNDJhNy00MjNjLWFlOWEtYzRiZmMyZTdjNWIxXkEyXkFqcGc@._V1_QL75_UY414_CR7,0,280,414_.jpg 280w"
4348, Kissise Na Kehna,No Year,No Duration,No Age Rating,"7,3", (746),No Metascore,"Kailashnath is a widower, and father of an only son, Ramesh. He feels that his son has come of age, and must get married. He goes to see a number of young ladies for him, but is disappointed with them, as he feels they are too modern, speak English, and listen to foreign music. He feels that Ramesh will be better off marrying a non-English speaking lady, preferably from a small village. But the predicament of Ramesh is that he is already in love with Ramola, a very well qualified, English speaking Doctor, and he knows fully well that she will not be approved by his dad. So Ramesh, Ramola and Lalaji concoct a plot, making Ramola masquerade as a naive, non-English speaking village belle, with hilarious and unpredictable results.",https://www.imdb.com//title/tt0244590/?ref_=sr_t_4348,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNDNlN2Y5OTEtMTU2MS00MWRjLTg3NmQtOGY2MDZiMDNlZjJiXkEyXkFqcGc@._V1_QL75_UY207_CR10,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNDNlN2Y5OTEtMTU2MS00MWRjLTg3NmQtOGY2MDZiMDNlZjJiXkEyXkFqcGc@._V1_QL75_UY207_CR10,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNDNlN2Y5OTEtMTU2MS00MWRjLTg3NmQtOGY2MDZiMDNlZjJiXkEyXkFqcGc@._V1_QL75_UY311_CR14,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNDNlN2Y5OTEtMTU2MS00MWRjLTg3NmQtOGY2MDZiMDNlZjJiXkEyXkFqcGc@._V1_QL75_UY414_CR19,0,280,414_.jpg 280w"
4349, Netri Kann,No Year,No Duration,No Age Rating,"7,3", (316),No Metascore,A God- fearing son finds a way to teach a lesson to his sex- addict father.,https://www.imdb.com//title/tt0279266/?ref_=sr_t_4349,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNjhhZWM2MjktMzYxMC00NGQ0LWE4NGMtNWYwN2MxNzQ4OGY3XkEyXkFqcGc@._V1_QL75_UY207_CR9,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNjhhZWM2MjktMzYxMC00NGQ0LWE4NGMtNWYwN2MxNzQ4OGY3XkEyXkFqcGc@._V1_QL75_UY207_CR9,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNjhhZWM2MjktMzYxMC00NGQ0LWE4NGMtNWYwN2MxNzQ4OGY3XkEyXkFqcGc@._V1_QL75_UY311_CR13,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNjhhZWM2MjktMzYxMC00NGQ0LWE4NGMtNWYwN2MxNzQ4OGY3XkEyXkFqcGc@._V1_QL75_UY414_CR18,0,280,414_.jpg 280w"
4350, Badava Rascal,No Year,No Duration,No Age Rating,"7,3"," (1,7 mil)",No Metascore,Badava Rascal is a romantic comedy entertainer movie directed by Shankar and produced by Dhananjay . The movie cast includes Daali Dhananjay and Amrutha Iyengar in the main lead roles while Vasuki Vaibhav scored music.,https://www.imdb.com//title/tt11306926/?ref_=sr_t_4350,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMDNlODFmNzMtODJiYS00YjExLWI5YzgtMWU4NWY1YTAzNjA2XkEyXkFqcGc@._V1_QL75_UY207_CR67,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMDNlODFmNzMtODJiYS00YjExLWI5YzgtMWU4NWY1YTAzNjA2XkEyXkFqcGc@._V1_QL75_UY207_CR67,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMDNlODFmNzMtODJiYS00YjExLWI5YzgtMWU4NWY1YTAzNjA2XkEyXkFqcGc@._V1_QL75_UY311_CR100,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMDNlODFmNzMtODJiYS00YjExLWI5YzgtMWU4NWY1YTAzNjA2XkEyXkFqcGc@._V1_QL75_UY414_CR133,0,280,414_.jpg 280w"
4351, The Akaali,No Year,No Duration,No Age Rating,"7,3", (102),No Metascore,"A newly appointed I.O. finds herself digging into the past regarding a 7-year-old case where occult gangs and forces have been responsible for a series of satanic killings in the city. With the help of an ex-cop, can she solve the case?",https://www.imdb.com//title/tt31913643/?ref_=sr_t_4351,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMmNmNzQ1YTUtNzA0ZS00OWQ1LTgxMmYtMzg4ZTZiNTQxMGY0XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMmNmNzQ1YTUtNzA0ZS00OWQ1LTgxMmYtMzg4ZTZiNTQxMGY0XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMmNmNzQ1YTUtNzA0ZS00OWQ1LTgxMmYtMzg4ZTZiNTQxMGY0XkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMmNmNzQ1YTUtNzA0ZS00OWQ1LTgxMmYtMzg4ZTZiNTQxMGY0XkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
4352, Rabb Da Radio 2,No Year,No Duration,No Age Rating,"7,3", (377),No Metascore,A newly married man returns home and is saddened to learn his extended family has split apart.,https://www.imdb.com//title/tt9614994/?ref_=sr_t_4352,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZjEyMzUwYmEtNzRmZi00NGExLWFmOTktMDg0MDZhNWRlMDViXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZjEyMzUwYmEtNzRmZi00NGExLWFmOTktMDg0MDZhNWRlMDViXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZjEyMzUwYmEtNzRmZi00NGExLWFmOTktMDg0MDZhNWRlMDViXkEyXkFqcGc@._V1_QL75_UY311_CR19,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZjEyMzUwYmEtNzRmZi00NGExLWFmOTktMDg0MDZhNWRlMDViXkEyXkFqcGc@._V1_QL75_UY414_CR26,0,280,414_.jpg 280w"
4353, Avargal,No Year,No Duration,No Age Rating,"7,3", (198),No Metascore,"The movie revolves around the trials and tribulations of Anu (Sujatha). Anu is a happy-go-lucky girl who is in love with her boyfriend. Her life changes when her father gets transferred to Mumbai (then Bombay). Her love life falls apart as she gets no response to any of her letters from her love. In addition, her father becomes seriously ill. Her father's office colleague, Ramanathan (Rajnikanth), becomes the new pillar of support for her in these tough times. Soon, he asks for her hand in marriage. She accepts gratefully, and confesses that she had a boyfriend, who has seemingly forgotten her. However, she soon realizes that Ramanathan is a sadistic and jealous husband, who tortures her no end so she opts for a divorce. As a divorced woman, with an infant in her hands, she lands in Chennai (Madras) to take up a new job and start a new life. Her life takes a turn for the better in Chennai with a very supportive friend-group in her office, particularly a widower, Janardhan a.k.a Johnnie (Kamal Hassan)who is a talented ventriloquist talking through his puppet, Junior. He falls in love with Anu, but is unable to muster up the courage to tell her about it. In an interesting cinematic twist, her ex-husband's mother discovers her presence in the city and takes up a job as a maid in her house. Anu also stumbles upon her old lover in Chennai and discovers that her letters to him never reached as they were intercepted by his mentally-challenged sister. Soon, Anu renews her relationship with her old love and life seems to be looking up for her. But the ghosts of the past continue to haunt her. Ramanathan comes to Chennai in the role of her boss - a contrite and repentant Ramanathan, who now wants to re-marry Anu and redress the wrongs he had done. The situation becomes piquant with 3 men vying for Anu - her ex-love, her ex-husband and a silent lover lurking on the sidelines.",https://www.imdb.com//title/tt0154181/?ref_=sr_t_4353,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMTAzYzJkMTctYmI5Ni00NmNmLTlhMGYtZjViZTgwMGU3MmU2XkEyXkFqcGc@._V1_QL75_UX140_CR0,3,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMTAzYzJkMTctYmI5Ni00NmNmLTlhMGYtZjViZTgwMGU3MmU2XkEyXkFqcGc@._V1_QL75_UX140_CR0,3,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMTAzYzJkMTctYmI5Ni00NmNmLTlhMGYtZjViZTgwMGU3MmU2XkEyXkFqcGc@._V1_QL75_UX210_CR0,5,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMTAzYzJkMTctYmI5Ni00NmNmLTlhMGYtZjViZTgwMGU3MmU2XkEyXkFqcGc@._V1_QL75_UX280_CR0,7,280,414_.jpg 280w"
4354, Hawaa Hawaai,No Year,No Duration,No Age Rating,"7,3"," (1,9 mil)",No Metascore,Arjun sueña con patinar. ¿Podrá seguir su sueño y ser campeón?,https://www.imdb.com//title/tt3501994/?ref_=sr_t_4354,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BODM4MTE0ODIwNF5BMl5BanBnXkFtZTgwODQxMTI1MTE@._V1_QL75_UX140_CR0,8,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BODM4MTE0ODIwNF5BMl5BanBnXkFtZTgwODQxMTI1MTE@._V1_QL75_UX140_CR0,8,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BODM4MTE0ODIwNF5BMl5BanBnXkFtZTgwODQxMTI1MTE@._V1_QL75_UX210_CR0,12,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BODM4MTE0ODIwNF5BMl5BanBnXkFtZTgwODQxMTI1MTE@._V1_QL75_UX280_CR0,16,280,414_.jpg 280w"
4355, Amu,No Year,No Duration,No Age Rating,"7,3", (964),No Metascore,Amu is the story of an Indian American woman who returns to India. The film takes a dark turn as Kaju learns that a horrifying genocide that took place twenty years ago turns out to hold the key to her mysterious origins.,https://www.imdb.com//title/tt0414713/?ref_=sr_t_4355,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMTA2MzQ3MjIzOTdeQTJeQWpwZ15BbWU4MDA4MjAwNjAx._V1_QL75_UY207_CR8,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMTA2MzQ3MjIzOTdeQTJeQWpwZ15BbWU4MDA4MjAwNjAx._V1_QL75_UY207_CR8,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMTA2MzQ3MjIzOTdeQTJeQWpwZ15BbWU4MDA4MjAwNjAx._V1_QL75_UY311_CR11,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMTA2MzQ3MjIzOTdeQTJeQWpwZ15BbWU4MDA4MjAwNjAx._V1_QL75_UY414_CR16,0,280,414_.jpg 280w"
4356, Saaheb,No Year,No Duration,No Age Rating,"7,3", (572),No Metascore,"The youngest of the four Sharma brothers is a huge sports buff. When a financial crisis befalls upon the family, he manages to raise a huge sum of money at a great personal sacrifice that no one knows of until it's too late.",https://www.imdb.com//title/tt0089952/?ref_=sr_t_4356,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNjg0ZDYzMTktMjdmMC00YzFmLTlkNDItYzU4NGExN2ZkODg4XkEyXkFqcGc@._V1_QL75_UY207_CR11,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNjg0ZDYzMTktMjdmMC00YzFmLTlkNDItYzU4NGExN2ZkODg4XkEyXkFqcGc@._V1_QL75_UY207_CR11,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNjg0ZDYzMTktMjdmMC00YzFmLTlkNDItYzU4NGExN2ZkODg4XkEyXkFqcGc@._V1_QL75_UY311_CR16,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNjg0ZDYzMTktMjdmMC00YzFmLTlkNDItYzU4NGExN2ZkODg4XkEyXkFqcGc@._V1_QL75_UY414_CR21,0,280,414_.jpg 280w"
4357, Rakshadhikari Baiju Oppu,No Year,No Duration,No Age Rating,"7,3"," (1,1 mil)",No Metascore,"Rakshadikari Baiju Oppu explores the story of a funny and good-hearted man Baiju, who is a government employee and also a patron at the Brothers Club in Kumbalam.",https://www.imdb.com//title/tt6576288/?ref_=sr_t_4357,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZDdlZGIwNjQtYWFhOC00M2YzLTk1N2EtZTFjZTZlNGMxMDczXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZDdlZGIwNjQtYWFhOC00M2YzLTk1N2EtZTFjZTZlNGMxMDczXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZDdlZGIwNjQtYWFhOC00M2YzLTk1N2EtZTFjZTZlNGMxMDczXkEyXkFqcGc@._V1_QL75_UY311_CR1,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZDdlZGIwNjQtYWFhOC00M2YzLTk1N2EtZTFjZTZlNGMxMDczXkEyXkFqcGc@._V1_QL75_UY414_CR2,0,280,414_.jpg 280w"
4358, The Silence,No Year,No Duration,No Age Rating,"7,3", (322),No Metascore,"While travelling on a local Mumbai train, Chinni witnesses a shocking incidence of a woman being molested which triggers a traumatic childhood memory that haunts her.",https://www.imdb.com//title/tt4603640/?ref_=sr_t_4358,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMzQ0NGMwZDQtNTIxOC00MzczLWI3MDAtYTE5MTQxYTkxYmVhXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMzQ0NGMwZDQtNTIxOC00MzczLWI3MDAtYTE5MTQxYTkxYmVhXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMzQ0NGMwZDQtNTIxOC00MzczLWI3MDAtYTE5MTQxYTkxYmVhXkEyXkFqcGc@._V1_QL75_UY311_CR5,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMzQ0NGMwZDQtNTIxOC00MzczLWI3MDAtYTE5MTQxYTkxYmVhXkEyXkFqcGc@._V1_QL75_UY414_CR7,0,280,414_.jpg 280w"
4359, Black Coffee,No Year,No Duration,No Age Rating,"7,3", (188),No Metascore,"Dhruv Narang, aka 'The King of Romance' is desperately in search of a muse for his new romantic novel. Fate leads him to meet Hemal Shah: a bona fide anti-romance corporate. In a twisted tale of events they're forced to work together.",https://www.imdb.com//title/tt7710222/?ref_=sr_t_4359,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BM2QzNWUzOWYtZDM1OS00ZmRmLWJjMmUtNjM1ZjY0NzY3MGVhXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BM2QzNWUzOWYtZDM1OS00ZmRmLWJjMmUtNjM1ZjY0NzY3MGVhXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BM2QzNWUzOWYtZDM1OS00ZmRmLWJjMmUtNjM1ZjY0NzY3MGVhXkEyXkFqcGc@._V1_QL75_UY311_CR19,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BM2QzNWUzOWYtZDM1OS00ZmRmLWJjMmUtNjM1ZjY0NzY3MGVhXkEyXkFqcGc@._V1_QL75_UY414_CR26,0,280,414_.jpg 280w"
4360, Comedy Circus Ka Naya Daur,No Year,No Duration,No Age Rating,"7,3", (131),No Metascore,This edition of Comedy Circus sees veterans of the show team up with fresh faces as they work together to bring the house down with their unique blend of comedy.,https://www.imdb.com//title/tt2422938/?ref_=sr_t_4360,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNGM1ZTg3NTQtYjk1OC00OTFkLTk5ZWUtMGQxZWUyOTJlMjM5XkEyXkFqcGc@._V1_QL75_UY207_CR68,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNGM1ZTg3NTQtYjk1OC00OTFkLTk5ZWUtMGQxZWUyOTJlMjM5XkEyXkFqcGc@._V1_QL75_UY207_CR68,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNGM1ZTg3NTQtYjk1OC00OTFkLTk5ZWUtMGQxZWUyOTJlMjM5XkEyXkFqcGc@._V1_QL75_UY311_CR102,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNGM1ZTg3NTQtYjk1OC00OTFkLTk5ZWUtMGQxZWUyOTJlMjM5XkEyXkFqcGc@._V1_QL75_UY414_CR136,0,280,414_.jpg 280w"
4361, Kanda Naal Mudhal,No Year,No Duration,No Age Rating,"7,3", (463),No Metascore,"Ramya and Krishna end up catching each others throat whenever they happen to meet. Aravind (Krishna's Friend) parents arrange his marriage with Ramya. Its a smooth story on how love blooms between Ramya and Krishna because of circumstances, and who ends up marrying Ramya - Aravind or Krishna ?",https://www.imdb.com//title/tt0808892/?ref_=sr_t_4361,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BOWVlMGFjOTYtNTlhNi00MzUwLWI4MzEtZTJmYzlhMDAxNDNiXkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BOWVlMGFjOTYtNTlhNi00MzUwLWI4MzEtZTJmYzlhMDAxNDNiXkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BOWVlMGFjOTYtNTlhNi00MzUwLWI4MzEtZTJmYzlhMDAxNDNiXkEyXkFqcGc@._V1_QL75_UY311_CR10,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BOWVlMGFjOTYtNTlhNi00MzUwLWI4MzEtZTJmYzlhMDAxNDNiXkEyXkFqcGc@._V1_QL75_UY414_CR13,0,280,414_.jpg 280w"
4362, Love Shots,No Year,No Duration,No Age Rating,"7,3", (153),No Metascore,"It's a set of six amusing short films that paint an honest and amusing picture of love. The series traces love in an unconventional way, across all ages and professions.",https://www.imdb.com//title/tt5956214/?ref_=sr_t_4362,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZDNmZGQ0YmItMzIzOS00NWEwLWEyYTctMjRiMDNlZmJiMjAwXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZDNmZGQ0YmItMzIzOS00NWEwLWEyYTctMjRiMDNlZmJiMjAwXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZDNmZGQ0YmItMzIzOS00NWEwLWEyYTctMjRiMDNlZmJiMjAwXkEyXkFqcGc@._V1_QL75_UY311_CR11,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZDNmZGQ0YmItMzIzOS00NWEwLWEyYTctMjRiMDNlZmJiMjAwXkEyXkFqcGc@._V1_QL75_UY414_CR16,0,280,414_.jpg 280w"
